a	aː
pillurnar	pʰ ɪ l ʏ t n a r
pils	pʰ ɪ l s
pilsaþyt	pʰ ɪ l s a θ ɪː t
pilsi	pʰ ɪ l s ɪ
pilsin	pʰ ɪ l s ɪ n
pilsinu	pʰ ɪ l s ɪ n ʏ
pilsið	pʰ ɪ l s ɪ ð
pilsum	pʰ ɪ l s ʏ m
pilsunum	pʰ ɪ l s ɔ n ʏ m
pilt	pʰ ɪ l̥ t
pilta	pʰ ɪ l̥ t a
piltana	pʰ ɪ l̥ t a n a
piltanna	pʰ ɪ l̥ t a n a
piltar	pʰ ɪ l̥ t a r
piltarnir	pʰ ɪ l̥ t a t n ɪ r
pilti	pʰ ɪ l̥ t ɪ
piltinn	pʰ ɪ l̥ t ɪ n
piltinum	pʰ ɪ l̥ t ɪ n ʏ m
piltsins	pʰ ɪ l̥ t s ɪ n s
piltum	pʰ ɪ l̥ t ʏ m
piltunum	pʰ ɪ l̥ t ɔ n ʏ m
piltur	pʰ ɪ l̥ t ʏ r
pilturinn	pʰ ɪ l̥ t ʏ r ɪ n
pin	pʰ ɪ n
pinkil	pʰ i ɲ̊ c ɪ l
pinkilinn	pʰ i ɲ̊ c ɪ l ɪ n
pinkla	pʰ ɪ ŋ̊ k l a
piparkökur	pʰ ɪː p a r k œː k ʏ r
piparmey	pʰ ɪː p a r m eiː
piparnum	pʰ ɪː p a r t n ʏ m
pipra	pʰ ɪː p r a
pirr	pʰ ɪ r
pirra	pʰ ɪ r a
pirrandi	pʰ ɪ r a n t ɪ
pirrar	pʰ ɪ r a r
pirraður	pʰ ɪ r a ð ʏ r
pirring	pʰ ɪ r i ŋ k
pirringi	pʰ ɪ r i ɲ c ɪ
pirrurnar	pʰ ɪ r ʏ t n a r
pirruð	pʰ ɪ r ʏ ð
pissa	pʰ ɪ s a
pissar	pʰ ɪ s a r
pissað	pʰ ɪ s a ð
pissið	pʰ ɪ s ɪ ð
pistil	pʰ ɪ s t ɪ l
pistilinn	pʰ ɪ s t ɪ l ɪ n
pistill	pʰ ɪ s t ɪ t l̥
pistla	pʰ ɪ s t l a
pistlar	pʰ ɪ s t l a r
pistlarnir	pʰ ɪ s t l a t n ɪ r
pistli	pʰ ɪ s t l ɪ
pistlum	pʰ ɪ s t l ʏ m
pitsur	pʰ ɪ t s ʏ r
pizzu	pʰ i t s ʏ
pjastra	pʰ j a s t r a
pjúritanar	pʰ j uː r ɪ t a n a r
plagg	pʰ l a k
plaggið	pʰ l a c ɪ ð
plan	pʰ l aː n
plani	pʰ l aː n ɪ
planinu	pʰ l aː n ɪ n ʏ
planið	pʰ l aː n ɪ ð
planka	pʰ l au ŋ̊ k a
planta	pʰ l a n̥ t a
plantað	pʰ l a n̥ t a ð
plantaði	pʰ l a n̥ t a ð ɪ
plantna	pʰ l a n̥ t n a
plasma	pʰ l a s m a
plasmíðsins	pʰ l a s m i ð s ɪ n s
plast	pʰ l a s t
plastbox	pʰ l a s t p ɔ k s
plastdúkur	pʰ l a s t uː k ʏ r
plasthnúðunum	pʰ l a s t n̥ u ð ɔ n ʏ m
plasti	pʰ l a s t ɪ
plastið	pʰ l a s t ɪ ð
plastlagningar	pʰ l a s t l a k n i ŋ k a r
plastpoka	pʰ l a s t p ɔ k a
plastpokann	pʰ l a s t p ɔ k a n
plastpokanum	pʰ l a s t p ɔ k a n ʏ m
plastpokar	pʰ l a s t pʰ ɔ k a r
plastpokum	pʰ l a s t p ɔ k ʏ m
plastprent	pʰ l a s t pʰ r ɛ n̥ t
plata	pʰ l aː t a
platan	pʰ l aː t a n
platað	pʰ l aː t a ð
plati	pʰ l aː t ɪ
platna	pʰ l a h t n a
plebbi	pʰ l ɛ p ɪ
plokka	pʰ l ɔ h k a
plokkaði	pʰ l ɔ h k a ð ɪ
plokkun	pʰ l ɔ h k ʏ n
plánetu	pʰ l auː n ɛ t ʏ
pláss	pʰ l au s
plássi	pʰ l au s ɪ
plássinu	pʰ l au s ɪ n ʏ
plássið	pʰ l au s ɪ ð
plássum	pʰ l au s ʏ m
plássunum	pʰ l au s ɔ n ʏ m
plástur	pʰ l au s t ʏ r
plís	pʰ l iː s
plóg	pʰ l ouː ɣ
plóginn	pʰ l ouː j ɪ n
plógnum	pʰ l ou k n ʏ m
plögg	pʰ l œ k
plöggin	pʰ l œ c ɪ n
plön	pʰ l œː n
plöntu	pʰ l œ n̥ t ʏ
plöntum	pʰ l œ n̥ t ʏ m
plöntur	pʰ l œ n̥ t ʏ r
plönturnar	pʰ l œ n̥ t ʏ t n a r
plötum	pʰ l œː t ʏ m
plötuna	pʰ l œː t ʏ n a
plötunnar	pʰ l œː t ʏ n a r
plötunni	pʰ l œː t ʏ n ɪ
plötunum	pʰ l œː t ɔ n ʏ m
plötur	pʰ l œː t ʏ r
plöturnar	pʰ l œː t ʏ t n a r
plötusnúður	pʰ l œː t ʏ s t n uː ð ʏ r
plötusnúðurinn	pʰ l œː t ʏ s t n uː ð ʏ r ɪ n
plús	pʰ l uː s
plúsmerkið	pʰ l uː s m ɛ r̥ c ɪ ð
poka	pʰ ɔː k a
pokana	pʰ ɔː k a n a
pokann	pʰ ɔː k a n
pokanum	pʰ ɔː k a n ʏ m
pokar	pʰ ɔː k a r
pokarnir	pʰ ɔː k a t n ɪ r
poki	pʰ ɔː c ɪ
pokinn	pʰ ɔː c ɪ n
pokum	pʰ ɔː k ʏ m
pokunum	pʰ ɔː k ɔ n ʏ m
poll	pʰ ɔ t l̥
polla	pʰ ɔ l a
pollar	pʰ ɔ l a r
polli	pʰ ɔ l ɪ
pollinn	pʰ ɔ l ɪ n
pompuðum	pʰ ɔ m̥ p ʏ ð ʏ m
ponta	pʰ ɔ n̥ t a
pontu	pʰ ɔ n̥ t ʏ
poppi	pʰ ɔ h p ɪ
poppkorn	pʰ ɔ h p k ɔ t n
popplag	pʰ ɔ h p l a ɣ
poppland	pʰ ɔ h p l a n t
popppoki	pʰ ɔ h p ɔ c ɪ
popppunkti	pʰ ɔ h p u ŋ̊ t ɪ
popptónlist	pʰ ɔ h p t ou n l ɪ s t
port	pʰ ɔ r̥ t
porti	pʰ ɔ r̥ t ɪ
portinu	pʰ ɔ r̥ t ɪ n ʏ
portið	pʰ ɔ r̥ t ɪ ð
portrett	pʰ ɔ r̥ t r ɛ h t
portúgal	pʰ ɔ r̥ t u k a l
portúgala	pʰ ɔ r̥ t u k a l a
portúgalar	pʰ ɔ r̥ t u k a l a r
portúgals	pʰ ɔ r̥ t u k a l s
portúgalska	pʰ ɔ r̥ t u k a l s k a
portúgölsku	pʰ ɔ r̥ t u k œ l s k ʏ
pos	pʰ ɔː s
postula	pʰ ɔ s t ʏ l a
postulanna	pʰ ɔ s t ʏ l a n a
postuli	pʰ ɔ s t ʏ l ɪ
postulinn	pʰ ɔ s t ʏ l ɪ n
postulín	pʰ ɔ s t ʏ l i n
postulíni	pʰ ɔ s t ʏ l i n ɪ
postulínið	pʰ ɔ s t ʏ l i n ɪ ð
postulínsmálun	pʰ ɔ s t ʏ l i n s m au l ʏ n
postulínsstell	pʰ ɔ s t ʏ l i n s t ɛ l
pot	pʰ ɔː t
pota	pʰ ɔː t a
potar	pʰ ɔː t a r
pott	pʰ ɔ h t
potta	pʰ ɔ h t a
pottana	pʰ ɔ h t a n a
pottaplöntu	pʰ ɔ h t a p l œ n̥ t ʏ
pottinn	pʰ ɔ h t ɪ n
pottinum	pʰ ɔ h t ɪ n ʏ m
pottréttinn	pʰ ɔ h t r j ɛ h t ɪ n
pottréttur	pʰ ɔ h t r j ɛ h t ʏ r
pottsköft	pʰ ɔ h t s k œ f t
pottum	pʰ ɔ h t ʏ m
pottunum	pʰ ɔ h t ɔ n ʏ m
pottur	pʰ ɔ h t ʏ r
potturinn	pʰ ɔ h t ʏ r ɪ n
pottþétt	pʰ ɔ h t θ j ɛ h t
pottþétta	pʰ ɔ h t θ j ɛ h t a
prag	pʰ r aː ɣ
prakkarar	pʰ r a h k a r a r
prakkarastrik	pʰ r a h k a r a s t r ɪː k
prakt	pʰ r a x t
pranga	pʰ r au ŋ k a
predika	pʰ r ɛː t ɪ k a
predikar	pʰ r ɛː t ɪ k a r
predikun	pʰ r ɛː t ɪ k ʏ n
predikunarstólnum	pʰ r ɛː t ɪ k ʏ n a r s t ou l n ʏ m
prelúdía	pʰ r ɛː l u t i j a
prelúdíur	pʰ r ɛː l u t i j ʏ r
prent	pʰ r ɛ n̥ t
prenta	pʰ r ɛ n̥ t a
prentar	pʰ r ɛ n̥ t a r
prentara	pʰ r ɛ n̥ t a r a
prentari	pʰ r ɛ n̥ t a r ɪ
prentarinn	pʰ r ɛ n̥ t a r ɪ n
prentað	pʰ r ɛ n̥ t a ð
prentaðar	pʰ r ɛ n̥ t a ð a r
prenti	pʰ r ɛ n̥ t ɪ
prentun	pʰ r ɛ n̥ t ʏ n
prentunar	pʰ r ɛ n̥ t ʏ n a r
prentuð	pʰ r ɛ n̥ t ʏ ð
pressa	pʰ r ɛ s a
pressan	pʰ r ɛ s a n
pressar	pʰ r ɛ s a r
pressara	pʰ r ɛ s a r a
pressari	pʰ r ɛ s a r ɪ
pressu	pʰ r ɛ s ʏ
pressur	pʰ r ɛ s ʏ r
prest	pʰ r ɛ s t
presta	pʰ r ɛ s t a
prestaklefanum	pʰ r ɛ s t a k l ɛː v a n ʏ m
prestanna	pʰ r ɛ s t a n a
prestar	pʰ r ɛ s t a r
prestarnir	pʰ r ɛ s t a t n ɪ r
prestbakka	pʰ r ɛ s t p a h k a
presthólum	pʰ r ɛ s t h ou l ʏ m
presti	pʰ r ɛ s t ɪ
prestinn	pʰ r ɛ s t ɪ n
prestinum	pʰ r ɛ s t ɪ n ʏ m
prests	pʰ r ɛ s t s
prestsins	pʰ r ɛ s t s ɪ n s
prestssetrinu	pʰ r ɛ s t s ɛ t r ɪ n ʏ
prestssetrið	pʰ r ɛ s t s ɛ t r ɪ ð
prestum	pʰ r ɛ s t ʏ m
prestunum	pʰ r ɛ s t ɔ n ʏ m
prestur	pʰ r ɛ s t ʏ r
presturinn	pʰ r ɛ s t ʏ r ɪ n
prik	pʰ r ɪː k
priki	pʰ r ɪː c ɪ
prikinu	pʰ r ɪː c ɪ n ʏ
prikið	pʰ r ɪː c ɪ ð
prikum	pʰ r ɪː k ʏ m
prins	pʰ r ɪ n s
prinsar	pʰ r ɪ n s a r
prinsessa	pʰ r ɪ n s ɛ s a
prinsessan	pʰ r ɪ n s ɛ s a n
prinsessu	pʰ r ɪ n s ɛ s ʏ
prinsessuna	pʰ r ɪ n s ɛ s ʏ n a
prinsessur	pʰ r ɪ n s ɛ s ʏ r
prinsinn	pʰ r ɪ n s ɪ n
prinsinum	pʰ r ɪ n s ɪ n ʏ m
prjón	pʰ r j ouː n
prjóna	pʰ r j ouː n a
prjónana	pʰ r j ouː n a n a
prjónað	pʰ r j ouː n a ð
prjónaði	pʰ r j ouː n a ð ɪ
prjónaðir	pʰ r j ouː n a ð ɪ r
prjóninn	pʰ r j ouː n ɪ n
prjónið	pʰ r j ouː n ɪ ð
prjónles	pʰ r j ou n l ɛ s
prjónum	pʰ r j ouː n ʏ m
prjónunum	pʰ r j ouː n ɔ n ʏ m
prjónuð	pʰ r j ouː n ʏ ð
proppsa	pʰ r ɔ h p s a
prostaglandína	pʰ r ɔ s t a k l a n t i n a
prufu	pʰ r ʏː v ʏ
prufur	pʰ r ʏː v ʏ r
prufustykkin	pʰ r ʏː v ʏ s t ɪ h c ɪ n
prump	pʰ r ʏ m̥ p
prédikað	pʰ r j ɛː t ɪ k a ð
prédikuninni	pʰ r j ɛː t ɪ k ʏ n ɪ n ɪ
príla	pʰ r iː l a
prílaði	pʰ r iː l a ð ɪ
prímsignast	pʰ r i m s ɪ k n a s t
prímus	pʰ r iː m ʏ s
prímusa	pʰ r iː m ʏ s a
prímusinn	pʰ r iː m ʏ s ɪ n
príon	pʰ r iː ɔ n
prísund	pʰ r iː s ʏ n t
prísundinni	pʰ r iː s ʏ n t ɪ n ɪ
príus	pʰ r iː j ʏ s
prívat	pʰ r iː v a t
próf	pʰ r ouː v
prófa	pʰ r ouː a
prófanir	pʰ r ouː a n ɪ r
prófastsdæmisins	pʰ r ouː f a s t aiː m ɪ s ɪ n s
prófastur	pʰ r ouː f a s t ʏ r
prófað	pʰ r ouː a ð
prófaði	pʰ r ouː a ð ɪ
prófaðir	pʰ r ouː a ð ɪ r
prófaðu	pʰ r ouː a ð ʏ
prófaður	pʰ r ouː a ð ʏ r
prófessor	pʰ r ouː f ɛ s ɔ r
prófessora	pʰ r ouː f ɛ s ɔ r a
prófessorar	pʰ r ouː f ɛ s ɔ r a r
prófessorinn	pʰ r ouː f ɛ s ɔ r ɪ n
prófessors	pʰ r ouː f ɛ s ɔ r̥ s
prófi	pʰ r ouː ɪ
prófin	pʰ r ouː ɪ n
prófinu	pʰ r ouː ɪ n ʏ
prófið	pʰ r ouː ɪ ð
prófíl	pʰ r ouː f i l
prúð	pʰ r uː ð
prýddur	pʰ r i t ʏ r
prýða	pʰ r iː ð a
prýðir	pʰ r iː ð ɪ r
prýðisdíll	pʰ r iː ð ɪ s t i t l̥
pu	pʰ ʏː
pukra	pʰ ʏː k r a
pukurástand	pʰ ʏː k ʏ r au s t a n t
pulsa	pʰ ʏ l s a
pulsu	pʰ ʏ l s ʏ
pulsur	pʰ ʏ l s ʏ r
pumpan	pʰ ʏ m̥ p a n
pumpu	pʰ ʏ m̥ p ʏ
pumpuna	pʰ ʏ m̥ p ʏ n a
punda	pʰ ʏ n t a
pundin	pʰ ʏ n t ɪ n
punkt	pʰ u ŋ̊ t
punkta	pʰ u ŋ̊ t a
punktana	pʰ u ŋ̊ t a n a
punktar	pʰ u ŋ̊ t a r
punktaði	pʰ u ŋ̊ t a ð ɪ
punkti	pʰ u ŋ̊ t ɪ
punktinum	pʰ u ŋ̊ t ɪ n ʏ m
punktum	pʰ u ŋ̊ t ʏ m
punktur	pʰ u ŋ̊ t ʏ r
punkturinn	pʰ u ŋ̊ t ʏ r ɪ n
punktuðu	pʰ u ŋ̊ t ʏ ð ʏ
punta	pʰ ʏ n̥ t a
puntstrá	pʰ ʏ n̥ t s t r au
puntstráin	pʰ ʏ n̥ t s t r au ɪ n
puntudúkkan	pʰ ʏ n̥ t ʏ t u h k a n
purpurarauðri	pʰ ʏ r̥ p ʏ r a r œy ð r ɪ
purpurarauðum	pʰ ʏ r̥ p ʏ r a r œy ð ʏ m
putaland	pʰ ʏː t a l a n t
putalandi	pʰ ʏː t a l a n t ɪ
putta	pʰ ʏ h t a
puttana	pʰ ʏ h t a n a
puttann	pʰ ʏ h t a n
puttar	pʰ ʏ h t a r
puð	pʰ ʏː ð
puða	pʰ ʏː ð a
puðað	pʰ ʏː ð a ð
pylsupartýinu	pʰ ɪ l s ʏ pʰ a r̥ t i ɪ n ʏ
pyntingum	pʰ ɪ n̥ t i ŋ k ʏ m
pyttur	pʰ ɪ h t ʏ r
páfa	pʰ auː v a
páfagauk	pʰ auː v a k œyː k
páfagaukum	pʰ auː v a k œyː k ʏ m
páfagaukur	pʰ auː v a k œyː k ʏ r
páfann	pʰ auː v a n
páfans	pʰ auː v a n s
páfanum	pʰ auː v a n ʏ m
páfi	pʰ auː v ɪ
páfinn	pʰ auː v ɪ n
pál	pʰ auː l
pála	pʰ auː l a
páli	pʰ auː l ɪ
páll	pʰ au t l̥
pálmann	pʰ au l m a n
pálmar	pʰ au l m a r
pálmi	pʰ au l m ɪ
pálrún	pʰ au l r u n
páls	pʰ au l s
pálsdóttir	pʰ au l s t ou h t ɪ r
pálsdóttur	pʰ au l s t ou h t ʏ r
pálsson	pʰ au l s ɔ n
pálssonar	pʰ au l s ɔ n a r
pálssyni	pʰ au l s ɪ n ɪ
pálína	pʰ auː l i n a
pálínu	pʰ auː l i n ʏ
páska	pʰ au s k a
páskaeggið	pʰ au s k a ɛ c ɪ ð
páskana	pʰ au s k a n a
páskar	pʰ au s k a r
páskastundinni	pʰ au s k a s t ʏ n t ɪ n ɪ
páskum	pʰ au s k ʏ m
páskunum	pʰ au s k ɔ n ʏ m
pásu	pʰ auː s ʏ
pæjur	pʰ aiː j ʏ r
pæla	pʰ aiː l a
pældi	pʰ ai l t ɪ
pæli	pʰ aiː l ɪ
pæling	pʰ aiː l ɪ ɲ k
pælingar	pʰ aiː l ɪ ɲ k a r
pælir	pʰ aiː l ɪ r
pælt	pʰ ai l̥ t
péturs	pʰ j ɛː t ʏ r̥ s
píanisti	pʰ iː j a n ɪ s t ɪ
píanistinn	pʰ iː j a n ɪ s t ɪ n
píanó	pʰ iː j a n ou
pílagríma	pʰ iː l a k r iː m a
pílagrímar	pʰ iː l a k r iː m a r
pílagrímarnir	pʰ iː l a k r iː m a t n ɪ r
pílagrímsferð	pʰ iː l a k r i m s f ɛ r ð
pílukast	pʰ iː l ʏ k a s t
pína	pʰ iː n a
píndi	pʰ i n t ɪ
pínt	pʰ i n̥ t
píp	pʰ iː p
pípa	pʰ iː p a
píparann	pʰ iː p a r a n
pípu	pʰ iː p ʏ
pípulagningamaðurinn	pʰ iː p ʏ l a k n i ŋ k a m aː ð ʏ r ɪ n
pípunum	pʰ iː p ɔ n ʏ m
pípur	pʰ iː p ʏ r
píra	pʰ iː r a
pírir	pʰ iː r ɪ r
pírði	pʰ i r ð ɪ
pírðu	pʰ i r ð ʏ
pískrað	pʰ i s k r a ð
píslarvottur	pʰ i s t l a r v ɔ h t ʏ r
píslarvætti	pʰ i s t l a r v ai h t ɪ
píslir	pʰ i s t l ɪ r
pítsa	pʰ i t s a
pítsu	pʰ i t s ʏ
pó	pʰ ouː
pókerandlit	pʰ ouː k ɛ r a n t l ɪ t
pókus	pʰ ouː k ʏ s
pól	pʰ ouː l
pólflugi	pʰ ouː l f l ʏi j ɪ
pólhæðina	pʰ ouː l h ai ð ɪ n a
pólinn	pʰ ouː l ɪ n
pólitíkinni	pʰ ouː l ɪ t iː c ɪ n ɪ
pólitíkusarnir	pʰ ouː l ɪ t iː k ʏ s a r t n ɪ r
pólitísk	pʰ ouː l ɪ t i s k
pólitíska	pʰ ouː l ɪ t i s k a
pólitískan	pʰ ouː l ɪ t i s k a n
pólitískar	pʰ ouː l ɪ t i s k a r
pólitíski	pʰ ouː l ɪ t i s c ɪ
pólitískra	pʰ ouː l ɪ t i s k r a
pólitískrar	pʰ ouː l ɪ t i s k r a r
pólitískri	pʰ ouː l ɪ t i s k r ɪ
pólitísks	pʰ ouː l ɪ t i s k s
pólitískt	pʰ ouː l ɪ t i s t
pólitískum	pʰ ouː l ɪ t i s k ʏ m
pólitískur	pʰ ouː l ɪ t i s k ʏ r
pólland	pʰ ou l a n t
póllandi	pʰ ou l a n t ɪ
póllands	pʰ ou l a n t s
póllandsferja	pʰ ou l a n s f ɛ r j a
póllandsferjuna	pʰ ou l a n s f ɛ r j ʏ n a
pólska	pʰ ou l s k a
pólskipti	pʰ ouː l s c ɪ f t ɪ
pólskum	pʰ ou l s k ʏ m
pólverjar	pʰ ou l v ɛ r j a r
pólverjinn	pʰ ou l v ɛ r j ɪ n
pólverjum	pʰ ou l v ɛ r j ʏ m
póst	pʰ ou s t
póstgíró	pʰ ou s t c i r ou
póstinn	pʰ ou s t ɪ n
póstinum	pʰ ou s t ɪ n ʏ m
póstlegg	pʰ ou s t l ɛ k
póstmeistaranum	pʰ ou s t m ei s t a r a n ʏ m
póstsins	pʰ ou s t s ɪ n s
póststimpilinn	pʰ ou s t s t ɪ m̥ p ɪ l ɪ n
póststimplinum	pʰ ou s t s t ɪ m̥ p l ɪ n ʏ m
póstur	pʰ ou s t ʏ r
pósturinn	pʰ ou s t ʏ r ɪ n
póstávísanir	pʰ ou s t au v i s a n ɪ r
pöbb	pʰ œ p
pöddu	pʰ œ t ʏ
pöddum	pʰ œ t ʏ m
pöddur	pʰ œ t ʏ r
pökkum	pʰ œ h k ʏ m
pökkuð	pʰ œ h k ʏ ð
pökkuðu	pʰ œ h k ʏ ð ʏ
pökkuðum	pʰ œ h k ʏ ð ʏ m
pöllum	pʰ œ t l ʏ m
pönnukökum	pʰ œ n ʏ k œ k ʏ m
pönnukökur	pʰ œ n ʏ k œ k ʏ r
pönnukökurnar	pʰ œ n ʏ k œ k ʏ t n a r
pönnuna	pʰ œ n ʏ n a
pönnunni	pʰ œ n ʏ n ɪ
pönnuskömminni	pʰ œ n ʏ s k œ m ɪ n ɪ
pöntum	pʰ œ n̥ t ʏ m
pöntun	pʰ œ n̥ t ʏ n
pöntuð	pʰ œ n̥ t ʏ ð
pöntuðu	pʰ œ n̥ t ʏ ð ʏ
pöntuðum	pʰ œ n̥ t ʏ ð ʏ m
pörin	pʰ œː r ɪ n
pöróttur	pʰ œː r ou h t ʏ r
pössum	pʰ œ s ʏ m
pössuðu	pʰ œ s ʏ ð ʏ
rabarbara	r a p a r p aː r a
rabarbari	r a p a r p aː r ɪ
rabb	r a p
rabba	r a p a
rabbaði	r a p a ð ɪ
rabbi	r a p ɪ
rabbíninn	r a p i n ɪ n
radarsvara	r aː t a r s v aː r a
radda	r a t a
raddar	r a t a r
raddarinnar	r a t a r ɪ n a r
raddbeitingu	r a t p ei t i ŋ k ʏ
raddblæ	r a t p l ai
raddblæinn	r a t p l ai j ɪ n
raddböndin	r a t p œ n t ɪ n
raddir	r a t ɪ r
raddirnar	r a t ɪ t n a r
raddlaus	r a t l œy s
raddstýring	r a t s t i r i ŋ k
radisson	r aː t ɪ s ɔ n
radíus	r aː t i j ʏ s
raf	r aː v
rafheimar	r aː v h ei m a r
rafhleðsla	r a f l̥ ɛ ð s t l a
rafhlöður	r a f l̥ œ ð ʏ r
rafhlöðurnar	r a f l̥ œ ð ʏ t n a r
rafkraftar	r a f kʰ r a f t a r
raflögnum	r a v l œ k n ʏ m
rafmagninu	r a v m a k n ɪ n ʏ
rafmagnið	r a v m a k n ɪ ð
rafmagns	r a v m a k s
rafmagnshellum	r a v m a k s h ɛ t l ʏ m
rafmagnsveitan	r a v m a k s v eiː t a n
rafmagnsveitu	r a v m a k s v eiː t ʏ
rafmagnsveitur	r a m a k s v eiː t ʏ r
rafn	r a p n̥
rafni	r a p n ɪ
rafns	r a p s
rafnsdóttir	r a p s t ou h t ɪ r
rafnsson	r a p s ɔ n
rafnssonar	r a p s ɔ n a r
rafnssyni	r a p s ɪ n ɪ
raforkukerfin	r aː v ɔ r̥ k ʏ cʰ ɛ r v ɪ n
rafræn	r a v r ai n
rafræna	r a v r ai n a
rafrænar	r a v r ai n a r
rafrænna	r a v r ai t n a
rafrænnar	r a v r ai t n a r
rafrænni	r a v r ai t n ɪ
rafrænt	r a v r ai n̥ t
rafrænum	r a v r ai n ʏ m
rafsegulbylgjur	r a f s ɛ ɣ ʏ l p ɪ l c ʏ r
rafsviðsins	r a f s v ɪ ð s ɪ n s
rafveitu	r a v ei t ʏ
rafvirkinn	r a v ɪ r̥ c ɪ n
ragga	r a k a
raggi	r a c ɪ
ragnar	r a k n a r
ragnari	r a k n a r ɪ
ragnars	r a k n a r̥ s
ragnfríðar	r a k n̥ f r i ð a r
ragnfríður	r a k n̥ f r i ð ʏ r
ragnheiðar	r a k n̥ h ei ð a r
ragnheiði	r a k n̥ h ei ð ɪ
ragnheiður	r a k n̥ h ei ð ʏ r
ragnhildi	r a k n̥ h ɪ l t ɪ
ragnhildur	r a k n̥ h ɪ l t ʏ r
ragnir	r a k n ɪ r
rak	r aː k
raka	r aː k a
rakan	r aː k a n
rakann	r aː k a n
rakanum	r aː k a n ʏ m
rakar	r aː k a r
rakara	r aː k a r a
rakarinn	r aː k a r ɪ n
rakað	r aː k a ð
rakaði	r aː k a ð ɪ
rakaður	r aː k a ð ʏ r
rakel	r aː k ɛ l
raki	r aː c ɪ
rakin	r aː c ɪ n
rakinn	r aː c ɪ n
rakir	r aː c ɪ r
rakið	r aː c ɪ ð
rakka	r a h k a
rakki	r a h c ɪ
rakkinn	r a h k ɪ n
rakleitt	r aː k l ei h t
rakleiðis	r aː k l ei ð ɪ s
rakna	r a h k n a
raknar	r a h k n a r
raknað	r a h k n a ð
raknaði	r a h k n a ð ɪ
rakri	r aː k r ɪ
rakspíra	r aː k s p i r a
rakst	r a k s t
raktar	r a x t a r
rakti	r a x t ɪ
raktir	r a x t ɪ r
rakur	r aː k ʏ r
rala	r aː l a
ralli	r a l ɪ
rallkepni	r a l cʰ ɛ h p n ɪ
rallí	r a l i
ram	r aː m
ramakvein	r aː m a k v eiː n
ramba	r a m p a
rambar	r a m p a r
rambað	r a m p a ð
rambaði	r a m p a ð ɪ
ramma	r a m a
ramman	r a m a n
rammann	r a m a n
rammaskipulags	r a m a s c ɪː p ʏ l a k s
rammgerum	r a m c ɛ r ʏ m
rammi	r a m ɪ
rammt	r a m̥ t
rammvilltur	r a m v ɪ l̥ t ʏ r
rana	r aː n a
ranann	r aː n a n
rananum	r aː n a n ʏ m
randver	r a n t v ɛ r
randvers	r a n t v ɛ r̥ s
ranga	r au ŋ k a
rangan	r au ŋ k a n
rangar	r au ŋ k a r
ranghala	r au ŋ k h a l a
ranglaði	r au ŋ l a ð ɪ
ranglátir	r au ŋ k l au t ɪ r
ranglátur	r au ŋ k l au t ʏ r
rangri	r au ŋ k r ɪ
rangsælis	r au ŋ k s ai l ɪ s
rangt	r au ŋ̊ t
rangæinga	r au ŋ k ai j i ŋ k a
raninn	r aː n ɪ n
ranka	r au ŋ̊ k a
rankað	r au ŋ̊ k a ð
rankaði	r au ŋ̊ k a ð ɪ
ranni	r a n ɪ
rannsaka	r a n s a k a
rannsakandi	r a n s a k a n t ɪ
rannsakar	r a n s a k a r
rannsakað	r a n s a k a ð
rannsakaði	r a n s a k a ð ɪ
rannsakaðir	r a n s a k a ð ɪ r
rannsakendur	r a n s a k ɛ n t ʏ r
rannsókn	r a n s ou h k n̥
rannsókna	r a n s ou h k n a
rannsóknanna	r a n s ou h k n a n a
rannsóknar	r a n s ou h k n a r
rannsóknarinnar	r a n s ou h k n a r ɪ n a r
rannsóknarlögreglan	r a n s ou h k n a r l œ ɣ r ɛ k l a n
rannsóknarlögregluna	r a n s ou h k n a r l œ ɣ r ɛ k l ʏ n a
rannsóknarlögreglunnar	r a n s ou h k n a r l œ ɣ r ɛ k l ʏ n a r
rannsóknarlögreglunni	r a n s ou h k n a r l œ ɣ r ɛ k l ʏ n ɪ
rannsóknin	r a n s ou h k n ɪ n
rannsóknina	r a n s ou h k n ɪ n a
rannsókninni	r a n s ou h k n ɪ n ɪ
rannsóknir	r a n s ou h k n ɪ r
rannsóknirnar	r a n s ou h k n ɪ t n a r
rannsóknum	r a n s ou h k n ʏ m
rannsóknunum	r a n s ou h k n ɔ n ʏ m
rannsökuð	r a n s œ k ʏ ð
rannsökuðu	r a n s œ k ʏ ð ʏ
rannveig	r a n v ei ɣ
rannveigar	r a n v ei ɣ a r
rannveigu	r a n v ei ɣ ʏ
rannís	r a n i s
rapp	r a h p
rapparanna	r a h p a r a n a
rapptextar	r a h p tʰ ɛ k s t a r
rarik	r aː r ɪ k
rasa	r aː s a
rask	r a s k
raska	r a s k a
raskast	r a s k a s t
raskað	r a s k a ð
raskaði	r a s k a ð ɪ
raski	r a s c ɪ
rasp	r a s p
raspi	r a s p ɪ
rass	r a s
rassgati	r a s k a t ɪ
rassgatinu	r a s k a t ɪ n ʏ
rassgatið	r a s k a t ɪ ð
rassi	r a s ɪ
rassinn	r a s ɪ n
rassinum	r a s ɪ n ʏ m
rasskinnarnar	r a s c ɪ n a t n a r
rat	r aː t
rata	r aː t a
ratar	r aː t a r
ratað	r aː t a ð
rataði	r aː t a ð ɪ
rauf	r œyː v
raufarhafnar	r œyː v a r h a p n a r
raufarhöfn	r œyː v a r h œ p n̥
raufina	r œyː v ɪ n a
